NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0809 Entries & Exits,0809 Interchanges
3176,113784,149371,216678,479833,113784,149371,216678,479833,959666,0
6873,21918,28574,84482,134974,21918,28574,84482,134974,269948,0
2743,1378,513,36,1927,1378,513,36,1927,3854,0
2550,38954,13202,6087,58243,38954,13202,6087,58243,116486,553
2549,49854,32098,13083,95035,49854,32098,13083,95035,190070,44
9767,58685,40853,55161,154699,58685,40853,55161,154699,309398,0
9107,22053,41371,31015,94439,22053,41371,31015,94439,188878,0
2279,32060,52870,20826,105756,32060,52870,20826,105756,211512,0
2280,6512,12357,1556,20425,6512,12357,1556,20425,40850,0
5927,11212,9168,7008,27388,11212,9168,7008,27388,54776,0
6200,2416,787,688,3891,2416,787,688,3891,7782,0
1658,106166,167679,60156,334001,106166,167679,60156,334001,668002,3353
7008,81571,114411,11975,207957,81571,114411,11975,207957,415914,582
9791,24194,17215,22430,63839,24194,17215,22430,63839,127678,0
6913,54065,68479,201493,324037,54065,68479,201493,324037,648074,0
1395,40806,45701,159348,245855,40806,45701,159348,245855,491710,0
1179,23276,31914,43496,98686,23276,31914,43496,98686,197372,0
4409,471,467,10,948,471,467,10,948,1896,0
5324,15089,17957,45519,78565,15089,17957,45519,78565,157130,0
2946,26499,104282,19879,150660,26499,104282,19879,150660,301320,0
5689,60810,45032,102707,208549,60810,45032,102707,208549,417098,0
4124,279,371,0,650,279,371,0,650,1300,0
3811,49366,44208,36817,130391,49366,44208,36817,130391,260782,0
2536,9264,525,101,9890,9264,525,101,9890,19780,0
3812,80748,121323,97036,299107,80748,121323,97036,299107,598214,0
4412,9288,7687,0,16975,9288,7687,0,16975,33950,0
3680,11770,20074,8085,39929,11770,20074,8085,39929,79858,0
1439,13980,23069,199718,236767,13980,23069,199718,236767,473534,0
3562,1122,10156,4022,15300,1122,10156,4022,15300,30600,0
3238,19955,31639,14236,65830,19955,31639,14236,65830,131660,0
5682,79125,94799,50922,224846,79125,94799,50922,224846,449692,0
3504,13440,73081,21279,107800,13440,73081,21279,107800,215600,0
7022,955302,1777349,1053268,3785919,955302,1777349,1053268,3785919,7571838,329669
6962,10948,19247,44915,75110,10948,19247,44915,75110,150220,0
9768,113409,82999,133709,330117,113409,82999,133709,330117,660234,9251
1440,38605,71165,597654,707424,38605,71165,597654,707424,1414848,13506
9878,16409,16008,16215,48632,16409,16008,16215,48632,97264,0
1129,18869,30750,42369,91988,18869,30750,42369,91988,183976,0
1016,30613,48881,11965,91459,30613,48881,11965,91459,182918,0
1441,13144,29426,238124,280694,13144,29426,238124,280694,561388,0
5164,152986,368515,266270,787771,152939,368352,265952,787243,1575014,16940
