NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
1215,542632,809103,762454,2114189,542632,809103,762454,2114189,4228378,41112
4515,378562,854413,898219,2131194,377921,853047,897023,2127991,4259185,165021
1127,2601637,5791046,4239054,12631737,2602494,5792873,4240653,12636020,25267757,3957161
1006,290572,620818,878785,1790175,290356,620357,878382,1789095,3579270,149609
7835,31697,12613,3404,47714,31697,12613,3404,47714,95428,0
9940,95997,183825,91953,371775,95997,183825,91953,371775,743550,0
6800,239535,316449,617126,1173110,239535,316449,617126,1173110,2346220,49285
5402,3704,8927,2185,14816,3704,8927,2185,14816,29632,0
9620,91389,64860,105370,261619,91389,64860,105370,261619,523238,0
5945,16585,9047,9095,34727,16585,9047,9095,34727,69454,0
2737,325717,183645,82719,592081,325717,183645,82719,592081,1184162,61959
5112,891770,964079,4195671,6044908,891763,964062,4195331,6044545,12089453,668840
5095,249689,286012,834108,1369809,249689,286012,834108,1369809,2739618,11955
7400,31956,41635,18645,92236,31956,41635,18645,92236,184472,0
2739,319709,448445,38593,806747,319709,448445,38593,806747,1613494,3684
2738,14402,18945,391,33738,14402,18945,391,33738,67476,0
2740,33080,23488,3579,60147,33080,23488,3579,60147,120294,0
2732,21246,20650,150193,192089,21246,20650,150193,192089,384178,0
5625,49966,104865,52860,207691,49966,104865,52860,207691,415382,0
2450,10227,8938,0,19165,10227,8938,0,19165,38330,0
8750,1960,3592,234,5786,1960,3592,234,5786,11572,0
9760,70226,62750,161146,294122,70226,62750,161146,294122,588244,0
1176,45340,39981,80557,165878,45340,39981,80557,165878,331756,0
4574,10387,4200,27996,42583,10387,4200,27996,42583,85166,0
9716,76178,66467,87265,229910,76178,66467,87265,229910,459820,0
7503,570,210,596,1376,570,210,596,1376,2752,0
6204,2006,184,117,2307,2006,184,117,2307,4614,0
1360,47458,116360,193795,357613,47458,116360,193795,357613,715226,57128
1141,6015,9156,6130,21301,6015,9156,6130,21301,42602,0
1018,6101,8931,6420,21452,6101,8931,6420,21452,42904,0
2123,243010,426505,189466,858981,243010,426505,189466,858981,1717962,0
1282,11346,10893,3995,26234,11346,10893,3995,26234,52468,0
3501,7471,93628,9709,110808,7471,93628,9709,110808,221616,0
2435,1561,870,246,2677,1561,870,246,2677,5354,0
5253,102113,273258,191038,566409,102113,273258,191038,566409,1132818,0
9668,5443,3626,3793,12862,5443,3626,3793,12862,25724,0
2599,281289,714137,421507,1416933,281289,714137,421507,1416933,2833866,488160
8536,9856,14617,7214,31687,9856,14617,7214,31687,63374,0
5626,36956,39897,63124,139977,36956,39897,63124,139977,279954,0
1993,4339,305,3147,7791,4339,305,3147,7791,15582,0
2195,150494,201106,103361,454961,150494,201106,103361,454961,909922,2
2239,99931,79549,76327,255807,99931,79549,76327,255807,511614,0
5130,33062,77416,111826,222304,33062,77416,111826,222304,444608,0
4304,24936,4559,951,30446,24936,4559,951,30446,60892,0
5254,11246,15421,18599,45266,11246,15421,18599,45266,90532,0
6216,36254,52504,13765,102523,36254,52504,13765,102523,205046,0
5894,19795,16916,28519,65230,19795,16916,28519,65230,130460,0
6237,11946,6649,6856,25451,11946,6649,6856,25451,50902,0
3018,24121,35478,46246,105845,24121,35478,46246,105845,211690,68237
5876,321615,671648,266287,1259550,321615,671648,266287,1259550,2519100,53073
1112,84896,162783,138438,386117,84896,162783,138438,386117,772234,0
1381,1542,3582,8345,13469,1542,3582,8345,13469,26938,0
6027,26269,34700,247927,308896,26269,34700,247927,308896,617792,0
9968,6464,3993,11501,21958,6464,3993,11501,21958,43916,0
5403,5191,12640,11463,29294,5191,12640,11463,29294,58588,0
5693,335251,296777,293158,925186,335251,296777,293158,925186,1850372,0
8346,320759,358391,298371,977521,320759,358392,298352,977503,1955024,17864
8345,294630,479170,363238,1137038,294631,479170,363257,1137058,2274096,23190
3341,71476,79029,38382,188887,71476,79029,38382,188887,377774,3244
5530,24629,1597,4477,30703,24629,1597,4477,30703,61406,0
6801,57626,96706,252259,406591,57626,96706,252259,406591,813182,0
2053,8992,13520,6452,28964,8992,13520,6452,28964,57928,0
2944,22400,41541,49083,113024,22400,41541,49083,113024,226048,0
5500,22066,52886,41058,116010,22066,52886,41058,116010,232020,0
8496,41471,26262,58760,126493,41471,26262,58760,126493,252986,0
7565,2630,2152,446,5228,2630,2152,446,5228,10456,0
7259,1055,1483,452,2990,1055,1483,452,2990,5980,0
9938,17650,16888,12278,46816,17650,16888,12278,46816,93632,0
7200,16700,15929,3074,35703,16700,15929,3074,35703,71406,0
5875,34335,34087,34317,102739,34335,34087,34317,102739,205478,0
2045,529,42,411,982,529,42,411,982,1964,0
2779,14115,43540,21658,79313,14115,43540,21658,79313,158626,0
9251,42,16,0,58,42,16,0,58,116,0
5552,155965,120846,281202,558013,155965,120846,281202,558013,1116026,0
6872,294810,219918,646693,1161421,294810,219918,646693,1161421,2322842,0
1560,7730,6842,6666,21238,7730,6842,6666,21238,42476,0
9889,52016,38646,26957,117619,52016,38646,26957,117619,235238,0
8823,1905,803,0,2708,1905,803,0,2708,5416,0
3809,194447,373642,199243,767332,194447,373642,199243,767332,1534664,32112
9789,73136,54012,69833,196981,73136,54012,69833,196981,393962,0
3449,35331,70139,13432,118902,35331,70139,13432,118902,237804,0
8049,64668,111048,25081,200797,64668,111048,25081,200797,401594,167
2554,8196,1608,663,10467,8196,1608,663,10467,20934,0
6464,345,14,-152,207,345,14,-152,207,414,0
8514,32204,38319,19227,89750,32204,38319,19227,89750,179500,0
5268,1077360,3902549,1890882,6870791,1077360,3902549,1890882,6870791,13741582,1605187
6810,46825,54753,125135,226713,46825,54753,125135,226713,453426,0
2603,5588,22866,6954,35408,5588,22866,6954,35408,70816,0
3230,294531,527968,198275,1020774,294531,527968,198275,1020774,2041548,394761
3231,1009474,2097642,830727,3937843,1009474,2097642,830727,3937843,7875686,979955
4012,2867,1921,866,5654,2867,1921,866,5654,11308,0
7932,153,13,614,780,153,13,614,780,1560,0
4187,4425,6843,3219,14487,4425,6843,3219,14487,28974,0
5081,58686,67622,217255,343563,58686,67622,217256,343564,687127,0
2240,57215,193823,46301,297339,57215,193823,46301,297339,594678,0
2892,13420,31456,14631,59507,13420,31456,14631,59507,119014,0
5006,40041,133817,88823,262681,40041,133817,88823,262681,525362,0
5886,94683,178731,351133,624547,94683,178731,351133,624547,1249094,222481
8429,8804,8966,7041,24811,8804,8966,7041,24811,49622,0
5404,180244,261911,557819,999974,180244,261911,557819,999974,1999948,0
2190,94851,254474,71648,420973,94851,254474,71648,420973,841946,0
2191,50123,101061,36525,187709,50123,101061,36525,187709,375418,0
2697,44004,54153,62843,161000,44004,54153,62843,161000,322000,0
5096,33554,42548,226328,302430,33554,42548,226328,302430,604860,0
