NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,Interchanges
3449,41029,88082,14232,143343,41029,88082,14232,143343,286686,
8049,78980,106771,29401,215152,78980,106771,29401,215152,430304,125.5953
2554,10150,1989,2052,14191,10150,1989,2052,14191,28382,
6464,328,18,0,346,328,18,0,346,692,
8514,41433,57976,34101,133510,41433,57976,34101,133510,267020,
5268,1161584,4469247,2395429,8026260,1161584,4469247,2395429,8026260,16052520,1860659.4995
6810,52847,67691,133670,254208,52847,67691,133670,254208,508416,
2603,7101,23934,8606,39641,7101,23934,8606,39641,79282,
3230,308347,599433,223220,1131000,308347,599433,223220,1131000,2262000,741421.6784
3231,1127278,2400919,914116,4442313,1127278,2400919,914116,4442313,8884626,1327179.47190001
4012,4379,191,912,5482,4379,191,912,5482,10964,
7932,240,2,169,411,240,2,169,411,822,
4187,10137,2713,3396,16246,10137,2713,3396,16246,32492,
5081,98430,104348,219115,421893,98430,104348,219115,421893,843786,
2240,70831,210038,49860,330729,70831,210038,49860,330729,661458,
2892,14047,33459,18952,66458,14047,33459,18952,66458,132916,
5006,41344,150465,93729,285538,41344,150465,93729,285538,571076,
5886,97002,185733,315234,597969,97002,185733,315234,597969,1195938,245114.9932
8429,7824,10413,8831,27068,7824,10413,8831,27068,54136,
5404,337600,540304,768324,1646228,337600,540304,768324,1646228,3292456,
2190,147343,212110,79199,438652,147343,212110,79199,438652,877304,
2191,73298,90240,40243,203781,73298,90240,40243,203781,407562,
2697,48975,64826,85584,199385,48975,64826,85584,199385,398770,
5096,46741,38968,237941,323650,46741,38968,237941,323650,647300,
5064,645301,848311,1439942,2933554,645301,848311,1439942,2933554,5867108,706866.3772
4715,86502,42174,132842,261518,86502,42174,132842,261518,523036,
1437,158397,264557,468303,891257,158397,264557,468303,891257,1782514,
1438,95600,116570,344471,556641,95600,116570,344471,556641,1113282,
6074,30472,21383,52685,104540,30472,21383,52685,104540,209080,
5687,115645,92634,258905,467184,115645,92634,258905,467184,934368,60012.5049
4175,372,118,246,736,372,118,246,736,1472,
8050,435,108,238,781,435,108,238,781,1562,
8618,2072,510,0,2582,2072,510,0,2582,5164,
8051,41798,90139,39296,171233,41798,90139,39296,171233,342466,2775.3131
9023,2261,1407,976,4644,2261,1407,976,4644,9288,
6812,173783,193466,348472,715721,173783,193466,348472,715721,1431442,266488.7316
6958,34097,57850,130106,222053,34097,57850,130106,222053,444106,
7289,17293,19804,7396,44493,17293,19804,7396,44493,88986,589.9643
7006,2398,2350,734,5482,2398,2350,734,5482,10964,
8807,31852,16872,17679,66403,31852,16872,17679,66403,132806,
3623,178782,192324,132831,503937,178782,192324,132831,503937,1007874,
5702,4015,8535,1132,13682,4015,8535,1132,13682,27364,
2222,24073,50125,14385,88583,24073,50125,14385,88583,177166,
7290,18,32,0,50,18,32,0,50,100,
2422,22658,2127,1417,26202,22658,2127,1417,26202,52404,
4182,1411,577,255,2243,1411,577,255,2243,4486,
7501,16799,11692,17324,45815,16799,11692,17324,45815,91630,
3502,91,2561,299,2951,91,2561,299,2951,5902,
4317,3226,1288,0,4514,3226,1288,0,4514,9028,
1865,12420,5820,8178,26418,12420,5820,8178,26418,52836,
7085,5521,7686,13764,26971,5521,7686,13764,26971,53942,
5483,124759,295132,440819,860710,124759,295132,440819,860710,1721420,
8500,113318,98404,114766,326488,113318,98404,114766,326488,652976,
8565,65921,80574,76227,222722,65921,80574,76227,222722,445444,
2945,24915,55106,28079,108100,24915,55106,28079,108100,216200,
1975,4430,2308,1903,8641,4430,2308,1903,8641,17282,
3176,126205,185427,246900,558532,126205,185427,246900,558532,1117064,
6873,22073,29300,75553,126926,22073,29300,75553,126926,253852,
2743,6343,1312,938,8593,6343,1312,938,8593,17186,
2550,53412,13100,8682,75194,53412,13100,8682,75194,150388,35.5606
2549,73053,26659,16490,116202,73053,26659,16490,116202,232404,41.2452
9767,57507,49033,61988,168528,57507,49033,61988,168528,337056,
9107,23183,45980,31618,100781,23183,45980,31618,100781,201562,
2279,28086,59250,22267,109603,28086,59250,22267,109603,219206,
2280,6980,9980,1730,18690,6980,9980,1730,18690,37380,
5927,11085,10353,8209,29647,11085,10353,8209,29647,59294,
6200,1918,980,495,3393,1918,980,495,3393,6786,
1658,103724,178640,69372,351736,103724,178640,69372,351736,703472,6368.7867
7008,92081,134278,18718,245077,92081,134278,18718,245077,490154,225.3304
9791,27115,21065,24956,73136,27115,21065,24956,73136,146272,
6913,73312,92556,164732,330600,73312,92556,164732,330600,661200,
1395,174861,193010,114434,482305,174861,193010,114434,482305,964610,
1179,22118,34122,38219,94459,22118,34122,38219,94459,188918,
4409,883,647,0,1530,883,647,0,1530,3060,
5324,16746,21927,45377,84050,16746,21927,45377,84050,168100,
2946,28983,102681,17500,149164,28983,102681,17500,149164,298328,
5689,65484,44830,90223,200537,65484,44830,90223,200537,401074,
4124,470,245,0,715,470,245,0,715,1430,
3811,87353,3406,36264,127023,87353,3406,36264,127023,254046,
2536,9329,927,687,10943,9329,927,687,10943,21886,
3812,200825,29940,108425,339190,200825,29940,108425,339190,678380,
4412,13089,9347,0,22436,13089,9347,0,22436,44872,
992,17631,17834,10031,45496,17631,17834,10031,45496,90992,
3680,22986,11909,7818,42713,22986,11909,7818,42713,85426,
1439,99717,142715,246790,489222,99717,142715,246790,489222,978444,
3562,759,13778,1688,16225,759,13778,1688,16225,32450,
3238,26005,41976,13515,81496,26005,41976,13515,81496,162992,
5682,85477,94940,50371,230788,85477,94940,50371,230788,461576,
3504,14496,94245,28979,137720,14496,94245,28979,137720,275440,
7022,1055750,2097604,1258264,4411618,1055750,2097604,1258264,4411618,8823236,732469.290799999
6962,33929,41451,58039,133419,33929,41451,58039,133419,266838,
9768,124962,108560,145264,378786,124962,108560,145264,378786,757572,7703.2361
1440,331224,472352,739134,1542710,331224,472352,739134,1542710,3085420,24126.0314
9878,17969,18992,15262,52223,17969,18992,15262,52223,104446,
1659,897322,1544027,282,2441631,897322,1544027,282,2441631,4883262,
1129,22620,43206,44894,110720,22620,43206,44894,110720,221440,
