NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0607        Entries & Exits," 0607 Interchanges"
8536,9512,13960,3898,27370,10802,13978,3898,28678,56048,0
5626,26992,26819,39982,93793,25603,26952,39982,92537,186330,0
1993,4332,310,2506,7148,4540,318,2506,7364,14512,0
2195,84964,93401,500,178865,75617,93476,500,169593,348458,6
2239,69280,46038,474,115792,86711,46053,474,133238,249030,0
4513,188,1589,0,1777,325,1595,0,1920,3697,0
5130,34516,66687,108064,209267,34006,68864,108064,210934,420201,0
4304,7588,14351,304,22243,10287,14429,304,25020,47263,0
5254,10707,10573,21480,42760,12451,10720,21480,44651,87411,0
6216,38335,41213,23232,102780,40709,42159,23232,106100,208880,0
5894,11106,11683,21811,44600,11419,13870,21811,47100,91700,0
6237,9979,4565,4908,19452,11548,4606,4908,21062,40514,0
3018,27233,40999,49980,118212,26654,43172,49980,119806,238018,56665
5876,280310,606890,265658,1152858,266226,625357,265658,1157241,2310099,96801
1112,77039,121716,4350,203105,77049,121372,4350,202771,405876,0
1381,1682,2772,8931,13385,1726,2951,8931,13608,26993,0
6027,19251,24929,112978,157158,18843,24759,112978,156580,313738,0
9968,5608,3749,47248,56605,6000,3745,47248,56993,113598,0
5403,3315,8704,9491,21510,4856,8691,9491,23038,44548,0
5693,330395,301890,283681,915966,330181,307815,283680,921676,1837642,0
8346,325235,301632,73813,700680,314024,300151,73813,687988,1388668,15596
8345,287474,426630,50625,764729,270291,429060,50625,749976,1514705,19348
3341,48758,53239,28000,129997,48593,53185,28000,129778,259775,0
5530,27755,1676,5354,34785,27029,1673,5354,34056,68841,0
6801,55471,107282,255515,418268,60996,111215,255515,427726,845994,0
2053,3068,8693,2122,13883,4184,8910,2122,15216,29099,0
2944,25711,36066,21764,83541,19807,39172,21764,80743,164284,0
8496,43100,21973,17905,82978,42620,22032,17905,82557,165535,0
5500,20117,39388,37698,97203,19248,43824,37698,100770,197973,0
7565,1651,2651,194,4496,1736,2657,194,4587,9083,0
7259,1157,1035,276,2468,1274,1211,276,2761,5229,0
9938,15882,14089,4887,34858,16147,14077,4887,35111,69969,0
7200,5838,9591,2301,17730,5823,9802,2301,17926,35656,0
5875,30136,30009,33868,94013,30658,31422,33868,95948,189961,0
2045,362,29,0,391,280,35,0,315,706,0
2779,15022,36798,13354,65174,12828,37522,13354,63704,128878,0
9251,22,22,0,44,29,2,0,31,75,0
5552,86179,94970,270349,451498,97776,95167,270349,463292,914790,0
6872,307144,243970,689025,1240139,305208,244778,689025,1239011,2479150,0
1560,8753,9453,5667,23873,9855,9860,5667,25382,49255,0
9889,36531,32015,25606,94152,37746,34280,25606,97632,191784,0
8823,1972,520,0,2492,2063,553,0,2616,5108,0
3809,156215,320900,106608,583723,158778,321398,106608,586784,1170507,26163
9789,68819,42102,33751,144672,65651,42103,33751,141505,286177,0
3449,37459,51095,10046,98600,39175,51863,10046,101084,199684,0
8049,50219,116041,26803,193063,53382,115776,26803,195961,389024,80
2554,7187,1077,1055,9319,7132,1094,1055,9281,18600,0
6464,316,16,0,332,318,15,0,333,665,0
8514,23445,15842,3262,42549,25203,16059,3262,44524,87073,0
5268,845714,3418376,2105926,6370016,924024,3453476,2105926,6483426,12853442,1432816
6810,46738,51050,133931,231719,44292,50902,133931,229125,460844,0
2603,6515,17639,3387,27541,4479,18088,3387,25954,53495,0
3230,311465,415758,170738,897961,319087,402062,170738,891887,1789848,514270
3231,979938,1609346,690614,3279898,997592,1580754,690615,3268961,6548859,917595
4012,2193,2603,747,5543,2144,2605,747,5496,11039,0
7932,88,10,206,304,76,10,206,292,596,0
4187,3896,3557,1699,9152,3921,3560,1699,9180,18332,0
5081,29971,56417,231402,317790,46126,57104,231402,334632,652422,0
2240,51253,53203,1551,106007,48301,54004,1551,103856,209863,0
2892,15395,26147,7598,49140,11357,28700,7598,47655,96795,0
5006,38523,114696,96025,249244,38082,114911,96025,249018,498262,0
5886,73480,174045,318084,565609,69784,174602,318084,562470,1128079,230668
8429,7809,6184,1779,15772,10704,6238,1779,18721,34493,0
5404,138091,204570,661131,1003792,149632,205020,661131,1015783,2019575,0
2190,74332,74244,1079,149655,71796,74253,1079,147128,296783,0
2191,32976,33815,746,67537,29951,33821,746,64518,132055,0
2697,40385,44065,20785,105235,37690,47165,20785,105640,210875,0
5096,30949,41505,242635,315089,33414,41612,242636,317662,632751,0
5064,487485,808562,1573560,2869607,485408,807330,1573561,2866299,5735906,579545
4715,58532,29944,11464,99940,64707,30435,11464,106606,206546,0
1437,65727,80346,423179,569252,53827,80150,423179,557156,1126408,0
