NLC,Entries_Full,Entries_Reduced,Entries_Season,Entries_Total,Exits_Full,Exits_Reduced,Exits_Season,Exits_Total,1415 Entries & Exits,1415 Interchanges
3502,16,2746,15,2777,16,2746,15,2777,5554,0
4317,2646,1381,0,4027,2646,1381,0,4027,8054,0
1865,12327,6405,6744,25476,12327,6405,6744,25476,50952,0
7085,6011,8529,15685,30225,6011,8529,15685,30225,60450,0
5483,111771,306120,473828,891719,111771,306120,473828,891719,1783438,0
8500,141556,131952,45851,319359,141556,131952,45851,319359,638718,0
8565,80960,79037,72452,232449,80960,79037,72452,232449,464898,0
2945,22729,42988,27672,93389,22729,42988,27672,93389,186778,0
1975,3873,2102,1154,7129,3873,2102,1154,7129,14258,0
3176,149397,195210,297893,642500,149397,195210,297893,642500,1285000,0
6873,28331,40971,70160,139462,28331,40971,70160,139462,278924,0
2743,8377,1494,3046,12917,8377,1494,3046,12917,25834,0
2550,45532,12843,14289,72664,45532,12843,14289,72664,145328,2.9758
2549,81008,32714,22778,136500,81008,32714,22778,136500,273000,560.3987
9767,37881,59160,40709,137750,37881,59160,40709,137750,275500,0
9107,26321,52987,31930,111238,26321,52987,31930,111238,222476,0
2279,31585,57802,24557,113944,31585,57802,24557,113944,227888,0
2280,7981,8948,2684,19613,7981,8948,2684,19613,39226,0
5927,11325,11166,9289,31780,11325,11166,9289,31780,63560,0
6200,1242,1144,300,2686,1242,1144,300,2686,5372,0
1658,113430,195363,59553,368346,113430,195363,59553,368346,736692,6615.9422
7008,90045,156907,50867,297819,90045,156907,50867,297819,595638,514.3254
9791,22662,32556,25328,80546,22662,32556,25328,80546,161092,0
6913,104030,139239,169417,412686,104030,139239,169417,412686,825372,0
1395,233735,266539,120199,620473,233735,266539,120199,620473,1240946,0
1179,24716,32154,46408,103278,24716,32154,46408,103278,206556,0
4409,407,451,0,858,407,451,0,858,1716,0
5324,15431,26145,33579,75155,15431,26145,33579,75155,150310,0
2946,32178,109423,20237,161838,32178,109423,20237,161838,323676,0
5689,72601,48716,98578,219895,72601,48716,98578,219895,439790,0
4124,592,431,0,1023,592,431,0,1023,2046,0
3811,85871,8779,39622,134272,85871,8779,39622,134272,268544,0
